id seccion,nombre seccion,id circuito,nombre circuito,escuela,mesas,desde,hasta,electores,31
6,GRAL SAN MARTIN,89,VILLA MARIA,IPEM N°275 EX COLEGIO NACIONAL - S.DEL ESTERO 618,15,4525,4539,5200,
1,CAPITAL,7E,MARQUES DE SOBREMONTE,ESC PETER PAN - P DE GUZMAN 131,15,802,816,5198,
1,CAPITAL,11A,ALTO ALBERDI,ESC JOSE MARIA PAZ - AV COLON 2772,15,1736,1750,5190,
3,COLON,33,JESUS MARIA,PTE DOMINGO F SARMIENTO - CORDOBA 1050,15,3612,3626,5190,
3,COLON,40,UNQUILLO,I.P.E.M. N° 78 - COSTANERA 750,15,3889,3903,5190,
12,PUNILLA,156,VILLA CARLOS PAZ,INST BERNARDO D'ELIA - ASUNCION,15,5498,5512,5190,
23,TERCERO ARRIBA,348,RIO TERCERO,E.N.E.T. N°1 - G.SAVIO Y MENDOZA,15,8141,8155,5190,
20,SAN JUSTO,279,ARROYITO,INST DR D VELEZ SARSFIELD - ARROYITO,15,7179,7193,5178,
1,CAPITAL,3,SECCIONAL TERCERA,ESC JERONIMO LUIS DE CABRERA - SANTA ROSA 650,15,66,80,5175,
3,COLON,33,JESUS MARIA,ESC.PROVC.F.O. DE OCAMPO - AV. DR. FRANCISCO N. DE LAPRIDA 649,15,3665,3679,5175,
13,RIO CUARTO,186,PUEBLO ALBERDI,ESC GRAL JUSTO S ANAYA - AZOPARDO 1270,15,6034,6048,5175,
1,CAPITAL,13H,PATRICIOS,COL HIJAS DE MARIA INMACULADA - MADRE BRIGIDA PASTORINO 2733,15,2710,2724,5160,
26,UNION,375,BELL VILLE,COLEGIO SAN JOSE - BV FIGUEROA ALCORTA 40,15,8461,8475,5160,
1,CAPITAL,14,ARGUELLO,COLEGIO LA SALLE - AV MARTINOLI 3950,15,2897,2911,5139,
20,SAN JUSTO,304,MORTEROS,COLEGIO NACIONAL MIXTO - MORTEROS,15,7422,7436,5113,
1,CAPITAL,9E,PROVIDENCIA,ESC PTE HIPOLITO YRIGOYEN - CASTRO BARROS 802,15,1120,1134,5033,
1,CAPITAL,14O,VILLA 9 DE JULIO,INSTITUTO LEON XIII - AV BODEREAU 7850,15,3217,3231,5025,
1,CAPITAL,14C,ARGUELLO SEGUNDO,INST CONCEPCIONISTA LA INMACUL - AV ENRIQUE BODEREAU KM 14,15,2992,3006,5006,
1,CAPITAL,13J,VILLA AZALAIS,ESC JUSTO PAEZ MOLINA - J MONTAÑO 1350,14,2811,2824,4858,
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.N.AVELLANEDA - BS.AS.E INT.MACIEL,14,4482,4495,4858,
13,RIO CUARTO,188,RIO CUARTO,ESC MANUEL BELGRANO - SOBREMONTE 1333,14,6206,6219,4858,
1,CAPITAL,6C,GRAL PAZ,ESC NORMAL GARZON AGULLA - VIAMONTE 150,14,593,606,4844,
6,GRAL SAN MARTIN,89,VILLA MARIA,I.P.E.T. N° 2 - J.MULLER 651,14,4552,4565,4844,
16,RIO SEGUNDO,240,PILAR,ESC ZENON LOPEZ - PILAR,14,6632,6645,4844,
1,CAPITAL,13G,PARQUE LICEO,ESC   RICARDO ROJAS - STORNI Y MONTALVO,14,2644,2657,4837,
3,COLON,41A,SALDAN,ESC.DE COMERCIO J.M.PAZ - VELEZ SARSFIELD 647,14,4051,4064,4836,
23,TERCERO ARRIBA,348,RIO TERCERO,COLEGIO JESUS MARIA Y JOSE - SAN AGUSTIN 318,14,8191,8204,4833,
1,CAPITAL,4,NUEVA CORDOBA,IPET N°66 DR JOSE A BALSEIRO - HIPOLITO YRIGOYEN 258,14,146,159,4830,
1,CAPITAL,7B,ALTA CORDOBA,INST CORAZON DE MARIA - A DEL VISO 445,14,721,734,4830,
1,CAPITAL,12D,JOSE IGNACIO DIAZ,ESC PEDRO GOYENA - PJE GUASTONI 3472,14,2275,2288,4830,
13,RIO CUARTO,165,BANDA NORTE,IPEM N°95 M SANCHEZ DE THOMPSO - MANCO CAPAC 50,14,5830,5843,4830,
20,SAN JUSTO,279,ARROYITO,ESCUELA N°198(ESC GIMENEZ LAGO - ARROYITO,14,7194,7207,4830,
21,SANTA MARIA,316,ALTA GRACIA,I.P.E.M. N° 298 - RAFAEL LOZADA 53,14,7753,7766,4827,
26,UNION,375,BELL VILLE,ESC.SUPERIOR DE COMERCIO - F.MOLINA 69,14,8419,8432,4816,
1,CAPITAL,10,BELLA VISTA,ESC ROQUE SAENZ PEÑA - AV VELEZ SARSFIELD 1000,14,1197,1210,4814,
1,CAPITAL,9C,LOS PARAISOS,ESC PCIA DE MISIONES - FIRPO 2254,14,1079,1092,4810,
19,SAN JAVIER,268,DOLORES,ESC GENERAL SAN MARTIN - EDISON 130,14,7034,7047,4802,
1,CAPITAL,5G,SAN VICENTE,ESC DGO F SARMIENTO - LOPEZ Y PLANES 2253,14,507,520,4788,
1,CAPITAL,7A,GUIÑAZU,ESC   UNESCO - JUAN B JUSTO/AV N SRA D LOS MILAGROS,14,677,690,4747,
1,CAPITAL,11C,LAS PALMAS,ESC MANUEL E PIZARRO - DUARTE QUIROS 4725,14,1791,1804,4746,
1,CAPITAL,10H,PARQUE CAPITAL,ESC R ESCALADA DE SAN MARTIN - ESPORA 2283,14,1479,1492,4732,
1,CAPITAL,11,AERONAUTICO,ESC ISABEL LA CATOLICA - SUBOF OTANO S/N°,14,1673,1686,4728,
1,CAPITAL,5F,RENACIMIENTO,ESC M COOPERATIVISMO ARGENTINO - M BRAVO Y PJE.MATHEU,14,483,496,4715,
1,CAPITAL,12C,CORONEL OLMEDO,ESC CORONEL OLMEDO - ALTOLAGUIRRE 4060,14,2251,2264,4632,
1,CAPITAL,10F,MATIENZO,COL NUESTRA SEÑORA DE FATIMA - VARELA ORTIZ 2600,13,1381,1393,4511,
3,COLON,41,VILLA ALLENDE,ESC.PROV. J.DE SAN MARTIN - GOYCOECHEA 150,13,3958,3970,4511,
13,RIO CUARTO,188,RIO CUARTO,ESCUELA GENERAL PAZ - MITRE 850,13,6134,6146,4511,
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,ESC EMILIO F OLMOS (IPEM N°50) - RIVADAVIA 679,13,7504,7516,4511,
3,COLON,33,JESUS MARIA,I.P.E.T.N° 69 - JESUS MARIA,13,3627,3639,4498,
3,COLON,41A,SALDAN,ESCUELA NOGAL HISTORICO - JOSE ACCASTELLI 252,13,4038,4050,4498,
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.J.INGENIEROS - SANTA FE 1271,13,4566,4578,4498,
12,PUNILLA,148,CAPILLA DEL MONTE,IPEM N° 279 - HIPOLITO YRIGOYEN 450,13,5249,5261,4498,
12,PUNILLA,156,VILLA CARLOS PAZ,COLEGIO COSTA AZUL - HUARPES Y COMECHINGONES,13,5588,5600,4498,
13,RIO CUARTO,165,BANDA NORTE,ESC PROVINCIA SANTA CRUZ - SANTA FE ESQ URUGUAY S/N,13,5811,5823,4498,
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,COL SUP SAN MARTIN - PJE CHAMPAGNAT 57,13,7527,7539,4498,
20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,ESC PTE HIPOLITO IRIGOYEN - JUJUY 205,13,7639,7651,4498,
3,COLON,33,JESUS MARIA,ESC.DR. J.M.ESTRADA N° 221 - CATAMARCA Y ESTRADA,13,3640,3652,4497,
1,CAPITAL,14A,ARGUELLO NORTE,ESC BRIG SAN MARTIN - DOMINGO MARIMON/GABRIEL ORTEGA,13,2918,2930,4493,
1,CAPITAL,13N,YOFRE,ESC DR ANTONIO NORES - JULIO DE VEDIA 2353,13,2871,2883,4486,
13,RIO CUARTO,186,PUEBLO ALBERDI,ESC NICOLAS AVELLANEDA - VICENTE LOPEZ 538,13,6001,6013,4485,
23,TERCERO ARRIBA,348,RIO TERCERO,ESC JOSE M ZAPIOLA - CHACABUCO 649,13,8215,8227,4485,
23,TERCERO ARRIBA,348,RIO TERCERO,ESCUELA N° 402 - I.LA CATOLICA 190,13,8228,8240,4485,
1,CAPITAL,7B,ALTA CORDOBA,INST NUESTRA MADRE DE LA MERCE - M FRAGUEIRO 2400,13,735,747,4476,
1,CAPITAL,3,SECCIONAL TERCERA,ESC NORMAL ALEJANDRO CARBO - AV COLON 951,13,100,112,4474,
1,CAPITAL,3,SECCIONAL TERCERA,ESC MARIANO MORENO - SANTA ROSA ESQ SANTA FE 1299,13,113,125,4472,
21,SANTA MARIA,316,ALTA GRACIA,ESCUELA CURA ELEODORO FIERRO - RAMON J CARCANO 135,13,7767,7779,4472,
23,TERCERO ARRIBA,344,OLIVA,C0LEGIO SAGRADO CORAZON - DON BOSCO S/N,13,8095,8107,4472,
23,TERCERO ARRIBA,344,OLIVA,ESCUELA NAC.DE COMERCIO - OLIVA,13,8108,8120,4472,
26,UNION,391,MONTE MAIZ,INSTITUTO SAGRADO CORAZON - 9 DE JULIO 2250,13,8546,8558,4467,
1,CAPITAL,8B,PUEYRREDON,ESC ROBLES - PADRE LUIS MONTI 1850,13,947,959,4459,
1,CAPITAL,12B,COLON,ESC RUBEN DARIO - LA CORUÑA Y MONSERRAT,13,2184,2196,4459,
4,CRUZ DEL EJE,44,CRUZ DEL EJE,ESC.PROV.D.F.SARMIENTO - IRIGOYEN 247,13,4100,4112,4459,
4,CRUZ DEL EJE,44,CRUZ DEL EJE,ESC.E. BAVIO - PELLEGRINI 180,13,4113,4125,4459,
12,PUNILLA,150,COSQUIN,ESC TTE GRAL JULIO A ROCA - SAN MARTIN Y SARMIENTO S/N,13,5311,5323,4459,
23,TERCERO ARRIBA,336,ALMAFUERTE,COL NAC JOSE M ESTRADA - URUGUAY 55,13,7979,7991,4459,
3,COLON,37,RIO CEBALLOS,IPEM N° 352 - NICANOR CEBALLOS,13,3775,3787,4446,
3,COLON,37,RIO CEBALLOS,ESC.PROV.M.FRAGUEIRO - AVENIDA SAN MARTIN 4519,13,3788,3800,4446,
1,CAPITAL,13A,AYACUCHO,ESC FRANCISCO A RIZZUTO - FDO DE LESSEPS 140,13,2527,2539,4433,
1,CAPITAL,9F,SAN MARTIN,ESC ANTONIO DEL VISO - SAAVEDRA 619,13,1135,1147,4420,
1,CAPITAL,13C,GENERAL BUSTOS,ESC ALEJO CARMEN GUZMAN - AUGUSTO LOPEZ 643,13,2586,2598,4417,
16,RIO SEGUNDO,239,ONCATIVO,ESC JOSE MARIA PAZ - ONCATIVO,13,6596,6608,4407,
1,CAPITAL,8C,VILLA LOS PINOS,ESC ALMIRANTE BROWN - SAN MARTIN S/N°,13,982,994,4400,
2,CALAMUCHITA,26,SANTA ROSA,COLEGIO NAC. DR.D.V. SARSFIELD - SANTA ROSA,13,3400,3412,4394,
1,CAPITAL,10I,PARQUE HORIZONTE,IPEM 357 (SEC ELPIDIO TORRES) - CALLE PUBLICA S/N,13,1524,1536,4381,
26,UNION,378,CANALS,INSTITUTO BELISARIO ROLDAN - CANALS,13,8491,8503,4355,
13,RIO CUARTO,179,LAS HIGUERAS,ESC JORGE ALEHANDRO NEWBERY - ESPAÑA 36,13,5919,5931,4329,
21,SANTA MARIA,326,MALAGUEÑO,ESC PROV MANUEL BELGRANO - GRAL BUSTOS 700,13,7894,7906,4316,
1,CAPITAL,5C,EMPALME,ESC PROVINCIA DE LA RIOJA - JUNIN 3480,12,385,396,4164,
1,CAPITAL,11A,ALTO ALBERDI,ESC PQUIAL - SAN JOSE 252,12,1687,1698,4164,
1,CAPITAL,13J,VILLA AZALAIS,ESC CURA BROCHERO - JAMAICA 967,12,2779,2790,4164,
1,CAPITAL,14M,VILLA CENTENARIO,INST   SAUL TABORDA - OB MOSCOSO Y PERALTA   A PALERMO 2772,12,3175,3186,4164,
3,COLON,41,VILLA ALLENDE,COLEGIO SAN JOSE - VILLA ALLENDE,12,3971,3982,4164,
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.DR. J.BIANCO - BELGRANO 302,12,4404,4415,4164,
12,PUNILLA,156,VILLA CARLOS PAZ,ESC PRESIDENTE SARMIENTO - LOS GIGANTES S/N,12,5455,5466,4164,
13,RIO CUARTO,188,RIO CUARTO,INST SAN BUENAVENTURA - SAN MARTIN 250,12,6103,6114,4164,
13,RIO CUARTO,188,RIO CUARTO,ESCUELA GRAL ROCA - PASO 790,12,6172,6183,4164,
13,RIO CUARTO,188,RIO CUARTO,ESC BARTOLOME MITRE - LAVALLE 1452,12,6184,6195,4164,
13,RIO CUARTO,188,RIO CUARTO,E.N.E.T. N° 1 - BAIGORRIA 527,12,6220,6231,4164,
1,CAPITAL,5C,EMPALME,FRAY JUSTO STA MARÍA DE ORO - CALLAO 2320,12,420,431,4163,
1,CAPITAL,13J,VILLA AZALAIS,I.P.E.T N° 70 - AV JUAN B JUSTO 4350,12,2848,2859,4158,
1,CAPITAL,14M,VILLA CENTENARIO,ESC PRIMERA JUNTA - C DE ARREDONDO 4446,12,3187,3198,4156,
1,CAPITAL,11E,LOS PLATANOS,ESC B DE MONTEAGUDO - SAN LUIS  345,12,1855,1866,4152,
1,CAPITAL,11E,LOS PLATANOS,ESC JOSE MARMOL - AV LOS PLATANOS 1346,12,1867,1878,4152,
3,COLON,35,MALVINAS ARGENTINAS,ESC CIUDAD DE MALVINAS ARGENT - AV SAN MARTIN 600,12,3742,3753,4152,
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.COM.A.OCAMPO - CATAMARCA 650,12,4540,4551,4152,
13,RIO CUARTO,165,BANDA NORTE,ANGELES CUSTODIOS/SAGRADA FLIA - ISABEL LA CATOLICA Y E JENNER S/N,12,5758,5769,4152,
13,RIO CUARTO,165,BANDA NORTE,INST SUP RAMON MENENDEZ PIDAL - AV JOSE GARIBALDI 50,12,5799,5810,4152,
13,RIO CUARTO,188,RIO CUARTO,COLEGIO GALILEO GALILEI - ALVEAR 1040,12,6277,6288,4152,
13,RIO CUARTO,188,RIO CUARTO,COLEGIO HISPANO ARGENTINO - FOTHERINGHAM 68,12,6289,6300,4152,
16,RIO SEGUNDO,245,VILLA DEL ROSARIO,ESC MARQUES DE SOBREMONTE - VILLA DEL ROSARIO,12,6761,6772,4152,
20,SAN JUSTO,279,ARROYITO,ESC MANUEL BELGRANO - RIVADAVIA 473,12,7158,7169,4152,
20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,ESC JOSE MARIA PAZ - REPUBLICA DEL LIBANO 1009,12,7652,7663,4152,
23,TERCERO ARRIBA,348,RIO TERCERO,ESC PROV MODESTO ACUÑA - AMINTA R DE HERRERA 455,12,8129,8140,4152,
23,TERCERO ARRIBA,348,RIO TERCERO,ESC PROV R E DE SAN MARTIN - 25 DE FEBRERO 171,12,8173,8184,4152,
1,CAPITAL,11J,SANTA ANA,COLEGIO SAN JOSE - SOL DE MAYO 726,12,2067,2078,4140,
1,CAPITAL,14A,ARGUELLO NORTE,ESC RICARDO NASSIF - MARTIN FERMIN,12,2931,2942,4140,
1,CAPITAL,14A,ARGUELLO NORTE,ESC MARTHA A SALOTTI - PUBLICA S/N,12,2952,2963,4140,
3,COLON,33,JESUS MARIA,ESC.PROV.1ER.TTE.MORANDINI - CHILE 222,12,3653,3664,4140,
21,SANTA MARIA,316,ALTA GRACIA,ESC COMANDANTE ESPORA - 3 DE FEBRERO 362,12,7683,7694,4140,
1,CAPITAL,13H,PATRICIOS,ESC MANUEL BELGRANO - ABRAMO 2545,12,2733,2744,4128,
3,COLON,34,JUAREZ CELMAN,ESC.COMODORO R. SILIONI - AV. ACONCAGUA S/N,12,3710,3721,4128,
26,UNION,375,BELL VILLE,ESCUELA A MATTERSON - PTE PERON 414,12,8433,8444,4128,
1,CAPITAL,13,LEANDRO N. ALEM,ESC PADRE DIEGO DE TORRES - DIAG ICA Y CAMICALTA,12,2490,2501,4123,
1,CAPITAL,1,SECCIONAL PRIMERA,ESC NUESTRA SEÑORA DEL HUERTO - BELGRANO 269,12,8,19,4116,
4,CRUZ DEL EJE,44,CRUZ DEL EJE,IPEM 273 M. BELGRANO - PELLEGRINI 445,12,4142,4153,4116,
9,MARCOS JUAREZ,133,MARCOS JUAREZ,COLEGIO SAGRADO CORAZON - LARDIZABAL 545,12,5074,5085,4116,
9,MARCOS JUAREZ,129,ISLA VERDE,INST SEC ISLA VERDE - LIBERTAD 446,12,5023,5034,4111,
1,CAPITAL,5G,SAN VICENTE,ESC PTE RIVADAVIA - AGUSTIN GARZON 1563,12,521,532,4104,
1,CAPITAL,11D,LOS NARANJOS,ESC REPUBLICA DEL PERU - GOYENA Y GOMEZ CARRILLO,12,1835,1846,4104,
3,COLON,29,COLONIA CAROYA,COLEGIO PIO LEON - AV 28 DE JULIO 345,12,3522,3533,4104,
3,COLON,37,RIO CEBALLOS,I.P.E.M.144-MARIANO MORENO - SALTA 191,12,3801,3812,4094,
1,CAPITAL,6F,YAPEYU,ESC R GÜIRALDES - 24 DE SETIEMBRE 2400,12,646,657,4092,
1,CAPITAL,10J,SANTA ISABEL,ESCUELA DON ORIONE - J.B.COTTOLENGO 1955,12,1548,1559,4092,
1,CAPITAL,13A,AYACUCHO,ESC P ALBARRACIN DE SARMIENTO - NERUDA Y ACAMPES,12,2551,2562,4092,
3,COLON,37,RIO CEBALLOS,INSTITUTO DEL ESPIRITU SANTO - AV. SAN MARTIN 5109,12,3813,3824,4092,
16,RIO SEGUNDO,243,RIO SEGUNDO,ESC PRIMER GOBIERNO PATRIO - RIVADAVIA 915,12,6706,6717,4092,
1,CAPITAL,6F,YAPEYU,ESC GDOR AMADEO SABATTINI - GERMANIA 2500,12,658,669,4081,
1,CAPITAL,12,AVELLANEDA,ESC JUAN XXIII - BENAVIDEZ Y CANESA -,12,2140,2151,4080,
1,CAPITAL,8A,PALMAR,ESC EMILIO E SANCHEZ - ANTONIO MACHONI 1700,12,900,911,4073,
2,CALAMUCHITA,17,EMBALSE,IPEA Y T 347 - J LUIS DE CABRERA ESQ ACONCAGUA,12,3262,3273,4073,
1,CAPITAL,5E,VILLA BUSTOS,ESC TTE GRAL P RICCHIERI - BENJAMIN VIEL 2387,12,471,482,4072,
3,COLON,40A,MENDIOLAZA,ESC.PIAS DE MENDIOLAZA - RUTA PROVINCIAL INTERMUNICIPAL E 57,12,3914,3925,4071,
1,CAPITAL,7G,PANAMERICANO,ESC ARTURO CAPDEVILA - AVELLANEDA 4100,12,866,877,4068,
1,CAPITAL,8C,VILLA LOS PINOS,ESC TRINIDAD MORENO - E SAN MARTIN 1251,12,970,981,4068,
8,JUAREZ CELMAN,112,LA CARLOTA,ESC.NAC.DE COMERCIO - V.SARSFIELD 651,12,4851,4862,4068,
8,JUAREZ CELMAN,112,LA CARLOTA,ESC.FORTIN HEROICO - ACOSTA 673,12,4863,4874,4064,
1,CAPITAL,7G,PANAMERICANO,ESC FRANCISCO VIDAL - FRAGUEIRO 4200,12,878,889,4062,
1,CAPITAL,6D,JUNIORS,ESC BRIGADIER C SAAVEDRA - ARENALES Y LA PLATA,12,627,638,4059,
2,CALAMUCHITA,26,SANTA ROSA,INST PARR SAN JUAN DIEGO - AV INT ANGEL LLANOS 320,12,3376,3387,4059,
2,CALAMUCHITA,26,SANTA ROSA,ESC. PROV.M. MORENO - SANTA ROSA,12,3388,3399,4056,
1,CAPITAL,10I,PARQUE HORIZONTE,PRIMARIA ELPIDIO TORRES - CALLE PUBLICA S/N,12,1506,1517,4046,
3,COLON,38,SALSIPUEDES,ESC.PROV. J.MALDONADO - DESIDERIO TORRES 360,12,3842,3853,4032,
9,MARCOS JUAREZ,131,LEONES,ESC DE COMERCIO Y BACHILLERATO - LEONES,12,5053,5064,4032,
1,CAPITAL,11F,LOS ROBLES,IPEM 205 HUGO PALLADINO - 27 DE ABRIL 5330,12,1902,1913,4008,
26,UNION,396,POSSE,INST DALMACIO VELEZ SARSFIELD - BELGRANO 222,12,8605,8616,4008,
1,CAPITAL,5C,EMPALME,ESC VICTOR MERCANTE - CAUCETE 4008,11,397,407,3817,
1,CAPITAL,10K,VICOR,ESC BENITO SORIA - BARBADOS Y HAITI,11,1574,1584,3817,
1,CAPITAL,10L,VILLA EL LIBERTADOR,ESC PTE DR ARTURO U ILLIA - TOTORAL Y ARICA,11,1622,1632,3817,
1,CAPITAL,13J,VILLA AZALAIS,ESC A CAPDEVILA/ DR. B HOUSEY - A CAPDEVILA 709,11,2768,2778,3817,
1,CAPITAL,13J,VILLA AZALAIS,ESC PARROQUIAL L STUCCHI BAUDO - NUEVO MUNDO 824,11,2800,2810,3817,
1,CAPITAL,11G,PARQUE REPUBLICA,ESC PEREZ BULNES - J DE BARRIENTOS ESQ FORMOSA,11,1935,1945,3816,
1,CAPITAL,6C,GRAL PAZ,ESC RAMON J CARCANO - VIAMONTE 446,11,582,592,3806,
1,CAPITAL,11A,ALTO ALBERDI,ESC SAN JOSE - CASEROS 3055,11,1716,1726,3806,
6,GRAL SAN MARTIN,89,VILLA MARIA,INSTITUTO SAN ANTONIO - RUCCI 141,11,4587,4597,3806,
13,RIO CUARTO,165,BANDA NORTE,ESC DR ADOLFO ALSINA - AVENIDA GARIBALDI 740,11,5770,5780,3806,
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,ESCUELA RIO NEGRO - CASEROS 518,11,7550,7560,3806,
